Status          Feature Name                        Version  Issue #  Edition      Latest Commit Timestamp
active          tool_lints                          1.28.0   44690    None         2018-07-03 13:50:48 +0200
active          trace_macros                        1.0.0    29598    None         2018-03-06 16:02:58 -0800
active          trait_alias                         1.24.0   41517    None         2018-03-06 16:02:58 -0800
active          trivial_bounds                      1.28.0   48214    None         2018-05-06 22:50:35 +0100
active          try_blocks                          1.29.0   31436    None         2018-07-24 18:03:25 -0700
active          type_ascription                     1.6.0    23416    None         2018-03-06 16:02:58 -0800
active          unboxed_closures                    1.0.0    29625    None         2018-03-06 16:02:58 -0800
active          underscore_imports                  1.26.0   48216    None         2018-03-11 00:18:05 +0300
active          uniform_paths                       1.30.0   53130    None         2018-08-09 23:50:04 +0300
active          unrestricted_attribute_tokens       1.30.0   44690    None         2018-08-11 16:40:08 +0300
active          unsized_locals                      1.30.0   48055    None         2018-05-29 00:10:09 +0900
active          unsized_tuple_coercion              1.20.0   42877    None         2018-03-06 16:02:58 -0800
active          untagged_unions                     1.13.0   32836    None         2018-03-06 16:02:58 -0800
active          unwind_attributes                   1.4.0    None     None         2018-03-06 16:02:58 -0800
active          wasm_target_feature                 1.30.0   44839    None         2018-08-08 01:43:00 +0200
removed         advanced_slice_patterns             1.0.0    23121    None         2018-04-29 17:58:51 +0300
removed         allocator                           1.0.0    None     None         2018-04-29 17:58:51 +0300
removed         import_shadowing                    1.0.0    None     None         2018-04-29 17:58:51 +0300
removed         macro_reexport                      1.0.0    29638    None         2018-04-29 17:58:51 +0300
removed         managed_boxes                       1.0.0    None     None         2018-04-29 17:58:51 +0300
removed         negate_unsigned                     1.0.0    29645    None         2018-04-29 17:58:51 +0300
removed         opt_out_copy                        1.0.0    None     None         2018-04-29 17:58:51 +0300
removed         proc_macro_expr                     1.27.0   54727    None         2018-07-05 19:09:35 -0600
removed         proc_macro_gen                      1.27.0   54727    None         2018-07-05 19:09:35 -0600
removed         proc_macro_mod                      1.27.0   54727    None         2018-07-05 19:09:35 -0600
removed         proc_macro_non_items                1.27.0   54727    None         2018-07-05 19:09:35 -0600
removed         pushpop_unsafe                      1.2.0    None     None         2018-04-29 17:58:51 +0300
removed         quad_precision_float                1.0.0    None     None         2018-04-29 17:58:51 +0300
removed         reflect                             1.0.0    27749    None         2018-04-29 17:58:51 +0300
removed         simd                                1.0.0    27731    None         2018-04-29 17:58:51 +0300
removed         struct_inherit                      1.0.0    None     None         2018-04-29 17:58:51 +0300
removed         test_removed_feature                1.0.0    None     None         2018-04-29 17:58:51 +0300
removed         unmarked_api                        1.0.0    None     None         2018-04-29 17:58:51 +0300
removed         unsafe_no_drop_flag                 1.0.0    None     None         2018-04-29 17:58:51 +0300
removed         visible_private_types               1.0.0    None     None         2018-04-29 17:58:51 +0300
stable_removed  no_stack_check                      1.0.0    None     None         2018-03-06 16:02:58 -0800
